Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
167,152,58,152,A1C,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MSG,Lenovo,Singapore,2021,Industry,"92,160",,"3,131.25","6,193.15","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,Asia,"50,912",180022
168,153,58,153,A5A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"92,160",,"3,131.25","6,193.15","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",179997
169,154,58,154,A1A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"92,160",,"3,131.25","6,193.15","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",180001
170,155,58,155,A1A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"92,160",,"3,131.25","6,193.15","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",180002
171,156,45,19,Thunder,"SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P",Air Force Research Laboratory,HPE,United States,2015,Government,"152,692","27,056","3,126.24","5,610.48","5,572,800",,,"4,819.50",Submitted,0.65,,Cluster,Xeon E5-2699v3 18C 2.3GHz,Intel Haswell,"2,300",SUSE Linux Enterprise Server 11,Linux,NVIDIA Tesla K40/Intel Xeon Phi 7120P,18,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,"49,284",178524
172,157,57,134,VEGA HPC GPU,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, NVIDIA A100, Infiniband HDR",IZUM,Atos,Slovenia,2021,Research,"33,600","25,920","3,096.00","4,680.00","1,152,000",,77.55,,,,,Cluster,AMD EPYC 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",Linux,Linux,NVIDIA A100,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Infiniband HDR,Europe,"50,864",179937
173,158,54,75,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"76,000",,"3,088.64","6,080.00","6,039,936",,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179750
174,159,56,104,Alps,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",Swiss National Supercomputing Centre (CSCS),HPE,Switzerland,2020,Research,"128,000",,"3,088.60","4,608.00","5,108,800",,,637.95,Submitted,4.84,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",HPE Cray OS,Linux,None,64,AMD Rome,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Europe,"50,422",179900
175,160,55,87,Numerical Materials Simulator,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Dual-rail Intel Omni-Path",National Institute for Materials Science,HPE,Japan,2020,Research,"53,568",,"3,082.12","4,971.11","3,805,824",,,691.20,Submitted,4.46,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Dual-rail Intel Omni-Path,Asia,"49,749",179847
176,161,55,88,Hera,"Cray CS500, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",NOAA Environmental Security Computer Center,HPE,United States,2019,Research,"63,840",,"3,080.85","4,884.48","4,012,032",,43.67,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,Cray CS500,Cray CS,Infiniband,Infiniband HDR,North America,"50,371",179864
177,162,48,34,Camphor 2,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",HPE,Japan,2016,Academic,"122,400",,"3,057.35","5,483.52","4,579,680",,,748.10,Submitted,4.09,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,516",178927
178,163,53,72,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2019,Academic,"61,120",,"3,054.35","4,867.20","5,598,720",,52.57,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",RHEL 7.6,Linux,None,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,Europe,"50,403",179699
179,164,45,56,Mistral,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDR",DKRZ - Deutsches Klimarechenzentrum,Atos,Germany,2015,Research,"99,072",,"3,010.68","3,962.88","4,437,696",,44.11,"1,116.00",Submitted,2.70,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",Bullx Linux,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"47,642",178567
180,165,54,81,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"73,600",,"2,994.04","5,888.00","5,943,552",,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179746
181,166,58,166,HHH1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"80,640",,"2,975.29","6,451.20","5,679,360",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,854",180011
182,167,58,167,III1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"79,680",,"2,975.08","6,374.40","5,645,568",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,854",180004
183,168,52,423,Tetralith,"Intel H2204XXLRE, Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",National Supercomputer Centre (NSC),ClusterVision / Hammer,Sweden,2018,Academic,"64,512",,"2,969.19","4,335.21","4,160,256",,65.24,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Intel H2204XXLRE,ClusterVision / Hammer Cluster,Omnipath,Intel Omni-Path,Europe,"48,488",179576
184,,59,184,Alex,"MEGWARE NF5488A5, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",Universitaet Erlangen - Regionales Rechenzentrum Erlangen,MEGWARE,Germany,2021,Academic,"31,744","27,648","2,938.00","4,992.00","1,138,176",,83.46,140.72,Submitted,20.88,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",AlmaLinux 8.5,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Milan,MEGWARE NF5488A5,MEGWARE Cluster,Infiniband,Infiniband HDR,Europe,"49,515",180075
185,169,58,169,JJJ1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"78,720",,"2,933.42","6,297.60","5,611,392",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,854",180005
186,170,54,83,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"72,000",,"2,931.84","5,760.00","5,878,656",,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179749
187,171,58,171,A9A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"86,016",,"2,922.50","5,780.28","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",179991
188,172,58,172,A6A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"86,016",,"2,922.50","5,780.28","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",179996
189,173,57,145,Jean,"Liqid Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Infiniband HDR",Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),Liqid,United States,2020,Government,"55,296",,"2,917.56","4,069.79","3,852,672",,,,,,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",CentOS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),Liqid Cluster,Liqid Cluster,Infiniband,Infiniband HDR,North America,"50,423",179951
190,174,58,174,KKK1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"77,760",,"2,910.09","6,220.80","5,577,216",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,854",180006
191,175,56,113,,"Inspur TS10000 HPC Server, Xeon Gold 6248R 24C 3GHz, InfiniBand HDR 100",Central South University,Inspur,China,2020,Academic,"49,056",,"2,889.41","4,709.38","4,680,192",,,,,,,Cluster,Xeon Gold 6248R 24C 3GHz,Intel Cascade lake,"3,000",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),Inspur TS10000 HPC Server,Inspur Cluster,Infiniband,InfiniBand HDR 100,Asia,"50,841",179873
192,176,58,176,LLL1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"76,800",,"2,882.76","6,144.00","5,542,656",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,854",180007
193,177,57,147,,"ThinkSystem HR650X, Xeon Gold 6230R 26C 2.1GHz, 10G Ethernet",Service Provider K,Lenovo,China,2021,Industry,"93,600",,"2,873.41","6,289.92","5,878,656",,,,,,,Cluster,Xeon Gold 6230R 26C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,26,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,885",179916
194,178,58,178,A8A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"84,480",,"2,870.31","5,677.06","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",179992
195,179,58,179,A8A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"84,480",,"2,870.31","5,677.06","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",179994
196,180,58,180,A3A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"84,480",,"2,870.31","5,677.06","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",179999
197,,59,197,A14A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2022,Industry,"84,480",,"2,870.31","5,677.06","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",180064
198,181,56,114,,"ThinkSystem SR650, Xeon Gold 6238 22C 2.1GHz, 10G Ethernet",Financial Services P,Lenovo,China,2020,Industry,"94,160",,"2,867.64","6,327.55","5,233,920",,,,,,,Cluster,Xeon Gold 6238 22C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,22,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,855",179887
199,,59,199,ASPIRE 2A (GPU Partition),"HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",National Supercomputing Centre Singapore,HPE,Singapore,2022,Research,"31,744","27,648","2,861.00","5,123.07","1,172,160",,85.86,,,,,MPP,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",RHEL 8.3,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Milan,HPE Cray EX235n,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Asia,"50,631",180077
200,,59,200,Tenaya,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",DOE/NNSA/LLNL,HPE,United States,2022,Research,"22,656","21,120","2,861.00","4,374.53","1,245,000",,,,,,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Milan,HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"49,763",180057
201,182,58,182,MMM1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"75,840",,"2,857.04","6,067.20","5,507,712",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,854",180008
202,183,57,149,"Karolina, CPU partition","Apollo 2000, AMD EPYC 7H12 64C 2.6GHz, InfiniBand HDR 100","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czechia,2021,Academic,"92,160",,"2,837.40","3,833.86","4,677,120",,47.97,502.70,Submitted,5.64,,Cluster,AMD EPYC 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",CentOS,Linux,None,64,AMD Rome,Apollo 2000,HPE Apollo,Infiniband,InfiniBand HDR 100,Europe,"50,561",179926
203,184,58,184,NNN1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"74,880",,"2,834.05","5,990.40","5,472,768",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,854",180009
204,185,55,123,Freeman,"Cray CS500, AMD EPYC 7542 32C 2.9GHz, Mellanox InfiniBand HDR100",ERDC DSRC,HPE,United States,2020,Research,"79,104",,"2,829.00","3,670.43","5,363,200",,,,,,,Cluster,AMD EPYC 7542 32C 2.9GHz,AMD Zen-2 (Rome),"2,900",RHEL 7.7,Linux,None,32,AMD Rome,Cray CS500,Cray CS,Infiniband,InfiniBand HDR100,North America,"47,771",179843
205,186,45,21,SuperMUC Phase 2,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",Leibniz Rechenzentrum,Lenovo/IBM,Germany,2015,Academic,"86,016",,"2,813.62","3,578.27","4,423,680",,,"1,480.83",Submitted,1.90,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,"2,600",Linux,Linux,None,14,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M5,NeXtScale,Infiniband,Infiniband FDR14,Europe,"48,248",178544
206,187,58,187,OOO1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"73,920",,"2,804.41","5,913.60","5,437,824",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,854",180010
207,188,47,30,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",United Kingdom Meteorological Office,HPE,United Kingdom,2016,Research,"89,856",,"2,801.78","3,019.16",,,,"1,347.84",Submitted,2.08,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"49,064",178751
208,189,47,31,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",United Kingdom Meteorological Office,HPE,United Kingdom,2016,Research,"89,856",,"2,801.78","3,019.16",,,,"1,347.84",Submitted,2.08,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"49,064",178752
209,190,51,61,JFRS-1,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ","Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology",HPE,Japan,2018,Research,"54,560",,"2,787.14","4,190.21","5,412,096",,,697.51,Submitted,4.00,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Cray Linux Environment ,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,767",179417
210,191,54,91,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"68,000",,"2,779.84","5,440.00","5,713,152",,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179748
211,192,57,156,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"72,960",,"2,774.23","5,836.80","5,402,112",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179923
212,193,57,157,Spartan3,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Mellanox InfiniBand HDR100",Atos,Atos,France,2021,Vendor,"92,160",,"2,751.00","3,612.67","4,423,680",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Milan,BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"50,630",179935
213,194,56,121,ZZ2,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"67,200",,"2,749.28","5,376.00","4,637,184",,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179898
214,195,55,103,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"66,400",,"2,746.30","5,312.00","5,645,568",,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179810
215,196,54,92,,"ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Government,Lenovo,China,2019,Government,"59,976","48,960","2,744.84","5,354.88","2,423,808",,,,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Asia,"50,774",179742
216,197,57,161,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"72,000",,"2,742.91","5,760.00","5,366,400",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179922
217,198,58,198,Topaze-gpu,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, Mellanox HDR Infiniband",Commissariat a l'Energie Atomique (CEA)/CCRT,Atos,France,2021,Research,"26,880","20,736","2,741.00","3,744.00","1,157,760",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,NVIDIA A100,64,AMD Milan,BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,"50,207",180015
218,199,53,82,VSC-4,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Vienna Scientific Cluster,Lenovo,Austria,2019,Academic,"37,920",,"2,726.08","3,761.66","3,385,000",,,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,"3,100",SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Xeon Platinum,ThinkSystem SD650,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,"50,345",179697
219,200,54,94,SNL/NNSA CTS-1 Attaway,"Tundra Extreme Scale, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2019,Research,"52,920",,"2,724.52","3,894.91","4,999,680",,38.80,750.00,Submitted,3.63,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",Linux/TOSS,Linux,None,18,Xeon Gold,Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,748",179777
220,201,56,126,ZZ3,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"66,400",,"2,721.33","5,312.00","4,609,536",,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179888
221,202,57,165,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"71,040",,"2,710.88","5,683.20","5,330,688",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179921
222,203,56,127,ZZ4,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"65,600",,"2,691.69","5,248.00","4,581,888",,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179889
